type,name,brand,model,year,engine (l),run (km),price
Car,Kia Sportage,Kia,Sportage,2015,1.7,158000,30430
Car,Kia Ceed,Kia,Ceed,2013,1.4,210000,16500
Car,Kia Sorento,Kia,Sorento,2013,2,135000,30200
Car,Changan Uni-T,Changan,Uni-T,2021,1.5,40000,32000
Car,Lexus IS 250,Lexus,IS 250,2010,2.5,132000,25500
Car,Mercedes C 240,Mercedes,C 240,2000,2.4,220000,14500
Car,Chevrolet Captiva,Chevrolet,Captiva,2013,2.4,274000,20500
Car,Hyundai Elantra N,Hyundai,Elantra N,2021,1.6,30000,41650
Car,BMW 520,BMW,520,2016,2,164379,48960
Car,Mercedes Viano,Mercedes,Viano,2013,3,173000,43350
Car,Ford Transit,Ford,Transit,2010,2.4,235000,29500
Car,Toyota Aqua,Toyota,Aqua,2015,1.5,71000,18000
Car,Land Rover Defender,Land Rover,Defender,2021,3,29000,192100
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2006,4,350000,26600
Car,Toyota Corolla Cross,Toyota,Corolla Cross,2024,2,0,31110
Car,Chevrolet Cruze,Chevrolet,Cruze,2012,1.8,264000,12900
Car,Xiaomi SU7,Xiaomi,SU7,2024,0,0,100300
Car,BYD Song Plus DM-İ,BYD,Song Plus DM-İ,2023,1.5,0,45560
Car,Kia Optima,Kia,Optima,2019,2.4,104000,40500
Car,Toyota Prius,Toyota,Prius,2017,1.8,60000,26700
Car,BMW 320,BMW,320,1998,2,420000,9000
Car,BMW 320,BMW,320,2014,2,187000,22900
Car,Chevrolet Cruze,Chevrolet,Cruze,2017,1.4,172369,16900
Car,Chevrolet Cruze,Chevrolet,Cruze,2012,1.4,220000,12200
Car,Chevrolet Trax,Chevrolet,Trax,2018,1.8,38500,26000
Car,Honda Accord,Honda,Accord,2019,1.5,135000,30500
Car,Kia Sorento,Kia,Sorento,2017,2,171050,40500
Car,Lexus GX 460,Lexus,GX 460,2014,4.6,32000,74800
Car,Mercedes C 200,Mercedes,C 200,2001,2,365000,10900
Car,Mercedes E 240,Mercedes,E 240,1999,2.4,367000,13800
Car,Toyota Camry,Toyota,Camry,2019,2.5,125312,47000
Car,Toyota Camry,Toyota,Camry,2021,2.5,95000,48450
Car,Toyota Corolla Cross,Toyota,Corolla Cross,2023,2,5000,49600
Car,Volkswagen Touareg,Volkswagen,Touareg,2004,3.2,375113,12900
Car,BMW 530,BMW,530,2017,2,90000,49300
Car,Ford Mustang,Ford,Mustang,2019,2.3,51900,41650
Car,Honda Insight,Honda,Insight,2009,1.3,202000,11000
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2004,1.6,40150,4900
Car,Land Rover RR Evoque,Land Rover,RR Evoque,2014,2,209000,32980
Car,Toyota Highlander,Toyota,Highlander,2023,2.5,3620,82518
Car,Mercedes C 230,Mercedes,C 230,1999,2.3,290378,11300
Car,Land Rover Discovery,Land Rover,Discovery,2017,3,70000,58650
Car,Opel Astra,Opel,Astra,1998,1.6,283000,6500
Car,BMW 520,BMW,520,2015,2,180000,34900
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2006,2.2,257000,20500
Car,LADA (VAZ) 2104,LADA (VAZ),2104,2006,1.7,139000,7500
Car,LADA (VAZ) Niva,LADA (VAZ),Niva,2008,1.7,120000,5700
Car,Kia Sportage,Kia,Sportage,2014,2,118000,29000
Car,Mini Clubman,Mini,Clubman,2017,2,143000,32000
Car,Porsche Cayenne,Porsche,Cayenne,2019,3,33000,113900
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2022,2.8,106918,96118
Car,BMW X5,BMW,X5,2011,3,233748,31110
Car,Hyundai Elantra,Hyundai,Elantra,2018,1.6,204387,24300
Car,Mercedes G 63 AMG,Mercedes,G 63 AMG,2018,4,9800,102000
Truck,Muravey TGA200-01P,Muravey,TGA200-01P,2024,0.3,0,7800
Car,BMW 528,BMW,528,1996,2.8,235111,6800
Car,BMW X5,BMW,X5,2015,3,163000,66640
Car,Changan Benni,Changan,Benni,2014,1,120291,8300
Car,Chevrolet Malibu,Chevrolet,Malibu,2016,2,60402,20900
Car,LADA (VAZ) 2107,LADA (VAZ),2107,1995,1.6,90000,3800
Car,Mercedes Sprinter 515,Mercedes,Sprinter 515,2007,2.2,350000,33900
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2012,2.4,158000,24000
Car,LADA (VAZ) 2104,LADA (VAZ),2104,2006,1.3,65000,8000
Car,Mercedes E 220 d,Mercedes,E 220 d,1999,2.2,254677,9500
Car,Mercedes G 55 AMG,Mercedes,G 55 AMG,2010,5.5,230000,69700
Car,Tofas Dogan,Tofas,Dogan,2004,1.6,275000,4500
Car,Audi Q7,Audi,Q7,2018,2,108000,58650
